,豆瓣评分,豆瓣投票人数,IMDB评分,IMDB投票人数,类别,产地,年代
113,5.4,143,5.7,2650,动作,美国,2017
114,4.9,91,4.0,1700,喜剧-动作,美国,2017
115,4.9,94,5.6,1785,悬疑-惊悚,美国,2017
116,4.3,156,5.2,2862,剧情-犯罪,美国,2017
117,5.2,195,5.1,665,喜剧,美国,2017
118,5.6,71,5.9,2150,剧情-悬疑-冒险,美国,2017
119,5.7,242,6.1,3074,剧情-恐怖,加拿大,2017
120,6.2,163,5.1,667,动作-西部-冒险,英国-德国-阿联酋-新西兰,2017
121,5.9,273,6.3,4241,惊悚,西班牙-阿根廷-法国,2017
122,6.4,164,4.8,1503,喜剧-动画-冒险,加拿大-韩国-美国,2017
123,6.4,236,6.2,3631,喜剧-动作-动画-冒险,美国-丹麦,2017
124,6.5,10,5.9,1000,剧情-历史-犯罪,英国-爱尔兰-瑞典-德国,2017
125,6.6,85,6.8,286,家庭-历史-战争,爱尔兰-英国,2017
126,6.7,266,6.3,6432,剧情-传记-犯罪,西班牙-保加利亚,2017
127,6.8,837,6.1,778,喜剧-动画,比利时-法国,2017
128,6.8,122,5.6,389,动作-科幻-动画,美国,2017
129,6.8,2925,5.8,915,喜剧-犯罪,德国,2017
130,6.8,71,6.4,1948,喜剧,美国,2017
131,6.9,884,6.5,1430,剧情-爱情-惊悚,法国-比利时,2017
132,6.9,1799,6.2,4062,喜剧-动画-冒险,美国-加拿大,2017
133,6.9,130,6.3,998,传记-动作-战争-惊悚,法国,2017
134,6.9,99,6.7,4324,剧情-冒险,澳大利亚-哥伦比亚,2017
135,7.0,68464,7.8,76162,剧情-动作-科幻,美国,2017
136,7.1,341,7.3,5607,剧情-传记,美国,2017
137,7.1,1171,7.1,3849,剧情-爱情-传记,英国,2017
138,7.2,110265,7.2,7425,喜剧-动作-冒险,英国-美国,2017
139,7.2,102,7.1,2189,剧情-传记-战争,美国,2017
140,7.3,137370,7.0,96990,动作-奇幻-冒险,美国,2017
141,7.3,1546,7.0,6445,剧情-传记-历史-犯罪,智利-阿根廷-法国-西班牙-美国,2017
142,7.3,66,6.5,887,喜剧-爱情,意大利,2017
143,7.3,787,7.0,8463,喜剧-传记-运动-同性,英国-美国,2017
144,7.4,14618,6.7,8779,喜剧-动画-冒险,美国,2017
145,7.4,2172,7.0,38654,动作-悬疑-惊悚,美国,2017
146,7.4,112864,7.7,99359,爱情-奇幻-歌舞,美国,2017
147,7.9,617,7.7,1760,剧情-战争,法国-加拿大,2017
148,8.0,779,7.4,1939,纪录片-战争,丹麦-叙利亚,2017
149,5.9,88,8.0,13748,剧情-战争,土耳其-美国,2017
150,8.3,917,6.8,875,剧情-惊悚,澳大利亚,2017
151,8.3,230688,8.3,238509,剧情-历史-战争,英国-法国-美国-荷兰,2017
152,8.4,3767,7.5,2027,剧情-历史-战争,德国-波兰-葡萄牙-法国,2017
153,8.5,879,7.7,2670,剧情-传记-爱情,爱尔兰-加拿大,2016
154,8.7,63851,8.3,100396,剧情-犯罪,美国-英国,2017
155,5.6,296,6.4,5508,喜剧-动作-动画,美国,2017
156,5.5,1976,5.8,211,喜剧-动画-奇幻-冒险,美国-西班牙-中国大陆-韩国-香港,2017
157,5.2,623,5.9,30046,动作-奇幻-冒险,美国,2017
158,3.7,78,4.0,563,惊悚,加拿大,2017
159,5.5,107,5.6,850,惊悚,美国-澳大利亚,2017
160,5.6,83,5.6,799,剧情-爱情-科幻,西班牙,2016
161,5.4,430,5.2,12896,剧情-悬疑-惊悚-犯罪,英国-美国-瑞典,2017
162,5.0,313,5.3,11670,剧情-科幻-惊悚,阿联酋-美国,2017
163,5.4,211,3.9,282,科幻,德国,2017
164,5.5,149,5.4,2594,科幻-恐怖,爱尔兰,2017
165,3.8,99,4.9,4040,科幻,加拿大,2017
166,5.1,128,4.8,458,惊悚-恐怖,德国-加拿大 Canada,2017
167,5.9,594,5.3,8102,喜剧,美国,2017
168,5.5,120,5.6,9868,喜剧,美国,2017
169,5.5,276,5.3,4020,喜剧,美国,2017
170,5.2,183,6.1,29,剧情-犯罪-悬疑,日本,2017
171,6.1,463,6.2,30,动作,日本,2017
172,6.5,460,6.2,1034,动画,日本,2017
173,7.0,149,8.1,64,动作,日本,2017
174,7.0,1605,6.4,114,剧情-犯罪,日本,2017
175,7.5,1544,6.9,308,动画,台湾,2017
176,5.8,175,5.8,13,剧情-喜剧-动作,泰国,2017
177,6.5,92,6.4,13027,动作-惊悚-冒险,印度,2017
178,8.0,151455,8.2,7879,剧情-音乐,印度,2017
179,6.4,113,6.8,1266,剧情-战争,英国,2017
180,4.6,166,4.2,838,科幻-惊悚,英国,2017
181,7.1,375,5.7,847,恐怖-犯罪-冒险,俄罗斯 Russia,2017
182,5.9,89,7.1,5353,恐怖,印度尼西亚-韩国,2017
183,6.1,153,6.5,3408,动作-爱情,印度 India,2017
184,6.6,328,7.8,10702,剧情-喜剧,印度,2017
185,7.1,2824,8.7,46091,剧情-动作-战争-奇幻-冒险,印度,2017
186,7.1,23973,7.4,11765,剧情-喜剧,印度,2017
187,7.2,698,7.3,3983,剧情-惊悚,印度,2017
188,8.2,7355,7.9,10461,剧情-喜剧,印度,2017
189,6.2,62,5.7,114,剧情-犯罪,台湾,2017
190,7.2,204,5.1,311,悬疑-惊悚,台湾,2017
191,4.9,141,3.8,8,喜剧,中国台湾,2017
192,5.0,21979,6.1,70,动作-科幻,中国大陆,2017
193,6.1,17697,5.9,107,喜剧-爱情-奇幻,中国大陆-香港-台湾,2017
194,4.6,1497,6.4,8,剧情-悬疑,中国,2017
195,6.4,851,7.1,7,剧情-喜剧,中国大陆,2017
196,3.0,4402,6.4,10,喜剧-奇幻,中国大陆,2017
197,6.6,23876,7.2,43,剧情-动作-犯罪,中国大陆,2017
198,7.1,16009,6.5,604,动画,中国大陆,2017
199,4.3,153,7.1,44,悬疑-惊悚,中国大陆-美国-英国,2017
200,7.2,52538,7.2,10226,动作-惊悚,英国-中国大陆,2017
201,7.2,224354,6.6,322,喜剧-奇幻,中国大陆,2017
202,5.5,1404,7.3,28,喜剧-奇幻,中国大陆,2017
203,7.3,89012,6.9,206,剧情-犯罪-悬疑-惊悚,中国大陆,2017
204,8.4,81278,7.2,189,剧情-犯罪-悬疑,中国大陆,2017
205,5.1,3694,8.5,31,爱情-悬疑,中国大陆,2017
206,8.6,33349,7.9,134,剧情-爱情,中国大陆-台湾,2017
207,5.2,12060,4.4,16,动作-犯罪,中国大陆-台湾-香港,2017
208,4.8,24217,5.6,62,动作-奇幻,中国大陆-香港,2017
209,5.4,49645,5.4,26,动作-悬疑-犯罪,中国大陆,2017
210,5.4,82790,5.3,183,剧情-动作-奇幻,中国大陆,2017
211,5.1,12828,5.5,806,剧情-动作-科幻,中国大陆,2017
212,4.8,11685,5.8,230,剧情-动作-悬疑,香港-中国大陆,2017
213,4.6,33824,4.7,68,喜剧-恐怖,中国大陆,2017
214,4.8,9004,6.3,15,喜剧-动作-爱情-奇幻,中国大陆-香港,2017
215,4.5,161,5.0,106,喜剧-恐怖,中国香港,2017
216,5.4,3189,6.8,13,剧情-犯罪-悬疑,中国大陆-台湾-韩国,2017
217,6.6,99,5.4,2346,剧情-喜剧,德国,2017
218,6.1,8795,7.5,25,剧情-喜剧,日本,2017
219,5.4,839,6.2,22,喜剧-爱情,日本,2017
220,6.3,796,6.7,93,喜剧,日本,2017
221,6.5,765,8.6,18,爱情,日本,2017
222,6.4,9638,6.1,140,剧情-爱情,日本,2017
223,7.1,394,7.7,71,爱情,日本,2017
224,7.3,1276,6.6,104,剧情-爱情,日本,2017
225,7.3,682,7.2,261,剧情-动作-奇幻,日本,2017
226,7.5,26807,6.7,170,喜剧-运动,日本,2017
227,8.7,3529,7.0,79,喜剧-家庭,日本,2017
228,5.0,79,6.2,21,惊悚-恐怖,日本,2017
229,4.6,375,8.0,44,剧情-喜剧-爱情,日本,2017
230,6.1,639,6.8,8693,剧情-传记-历史,英国-美国,2017
231,6.1,169,6.9,4861,剧情-传记-历史,英国-美国,2017
232,6.1,792,5.5,1574,喜剧,法国-比利时,2016
233,6.2,72,5.5,1026,动作-犯罪-惊悚,保加利亚,2017
234,6.3,73,6.6,3499,剧情-历史-惊悚,瑞典-美国,2017
235,6.3,4186,5.4,7374,喜剧-犯罪-悬疑,美国-英国,2017
236,6.3,3379,6.4,5312,喜剧-惊悚-恐怖,西班牙-阿根廷,2017
237,6.4,399,6.2,3940,剧情-爱情,美国-英国,2017
238,6.4,299,6.9,2712,剧情-传记-同性,芬兰,2017
239,6.4,235,6.2,2910,剧情-爱情-悬疑,英国-美国,2017
240,6.5,156,7.0,1399,科幻-惊悚,英国-美国-法国-比利时,2017
241,6.6,147,7.1,3065,剧情-喜剧-传记,爱尔兰-加拿大,2017
242,5.9,471,6.6,4022,剧情-传记,爱尔兰-加拿大,2016
243,5.0,4028,6.7,31347,动作-科幻-冒险,美国-中国香港-加拿大,2017
244,6.8,225,5.6,951,剧情-爱情-惊悚,德国-法国-西班牙-美国,2017
245,6.9,336,7.4,2063,剧情-惊悚-同性-奇幻,挪威-法国-丹麦-瑞典,2017
246,7.0,166,7.1,4105,剧情-传记-运动,瑞典-丹麦-芬兰,2017
247,7.0,436,6.8,1383,喜剧-传记-爱情,法国-缅甸,2017
248,7.0,101258,6.7,67136,剧情-犯罪-悬疑,美国-马耳他,2017
249,7.0,70,6.9,2278,惊悚,瑞典-丹麦-德国-法国,2017
250,7.1,778,7.7,12771,剧情-奇幻-惊悚,英国-爱尔兰,2017
251,7.3,56,6.5,568,喜剧,德国-卢森堡-比利时,2017
252,7.5,309,7.5,2430,喜剧,美国,2017
253,7.5,83,6.1,826,喜剧-爱情,美国,2017
254,7.6,1216,7.1,17876,喜剧-动作,美国-中国大陆-保加利亚-荷兰,2017
255,7.7,1249,8.0,21010,动作-犯罪-悬疑,英国-加拿大-美国,2017
256,7.7,84,7.2,4568,惊悚,西班牙,2017
257,7.7,258,7.2,802,动作-科幻-灾难,俄罗斯,2017
258,7.9,345,7.4,2386,剧情-历史-冒险,俄罗斯,2017
259,7.9,3917,7.6,15105,剧情-喜剧,瑞典-德国-法国-丹麦,2017
260,7.9,2135,7.4,2499,剧情-喜剧,芬兰-德国,2017
261,8.0,60,7.3,383,喜剧,捷克,2017
262,8.1,1337,6.9,2719,剧情-喜剧,英国,2017
263,8.2,840,7.6,7130,喜剧-传记-历史,英国-法国,2017
264,8.2,708,8.0,15651,喜剧-爱情,美国,2017
265,8.2,8286,6.5,1641,喜剧-爱情-冒险,意大利-法国,2017
266,8.3,1714,5.7,3210,剧情-同性,法国,2017
267,8.3,2090,7.4,372,喜剧-动画-冒险,法国-比利时,2017
268,8.3,63756,8.2,14292,喜剧-家庭,英国-法国-美国,2017
269,8.4,448,7.6,1672,动画,爱尔兰-加拿大-卢森堡,2017
270,8.5,109306,8.4,161963,剧情-科幻-惊悚,美国-加拿大-英国,2017
271,8.6,60822,7.4,35216,剧情-传记-历史,英国-美国,2017
272,8.6,81708,7.9,11123,剧情-传记-动画,英国-波兰,2017
273,8.9,122224,8.2,53139,剧情-爱情-同性,意大利-法国-巴西-美国,2017
274,8.9,340,7.4,1632,爱情,法国-比利时,2017
275,5.5,148,5.9,2765,剧情-惊悚,加拿大,2017
276,5.4,244,5.8,735,动作-惊悚,美国-中国大陆,2017
277,5.8,96,6.0,2930,剧情-动作-惊悚,英国,2017
278,5.9,3670,4.6,2766,剧情-动作-历史,俄罗斯,2016
279,5.1,216,5.3,3044,动作,法国-美国,2017
280,5.9,67,5.2,1842,恐怖,爱尔兰 Ireland,2017
281,5.2,75,4.7,2888,奇幻-惊悚-恐怖,美国,2017
282,5.8,297,6.9,14221,悬疑-恐怖,美国,2017
283,4.4,175,4.8,442,剧情-科幻-恐怖,西班牙,2017
284,5.7,125,4.6,2314,剧情-悬疑-惊悚,美国,2017
285,5.8,535,6.3,6693,剧情-悬疑-惊悚-恐怖,澳大利亚,2017
286,4.7,216,5.0,5560,剧情-悬疑-惊悚,美国,2017
287,4.6,344,4.8,845,爱情-惊悚-同性,加拿大,2017
288,6.5,742,5.8,907,剧情-爱情-惊悚,法国,2017
289,6.5,146,6.1,1063,喜剧,法国,2017
290,6.6,325,5.4,818,剧情-惊悚,法国-比利时,2017
291,6.6,124,5.9,2933,剧情-科幻-惊悚,西班牙-法国,2017
292,6.9,98,6.9,1448,传记,法国,2017
293,7.3,75,6.3,1095,动作-惊悚,法国,2017
294,7.7,295,7.0,2895,喜剧,法国,2017
295,5.1,230,4.7,613,剧情-传记,法国,2017
296,8.3,149171,8.2,2912,剧情-犯罪-悬疑,泰国,2017
297,6.0,89,7.3,1363,剧情-犯罪,澳大利亚,2017
298,6.3,165,6.6,2119,剧情-悬疑,澳大利亚,2017
299,5.8,264,6.0,11355,动作-惊悚,美国,2017
300,6.0,82,5.7,7774,喜剧,美国,2017
301,5.0,66,6.0,878,喜剧-恐怖,美国,2017
302,6.0,137,4.6,2907,悬疑-惊悚-恐怖,美国,2017
303,6.1,231,6.0,3782,惊悚,美国,2017
304,5.6,214,6.2,2124,剧情-惊悚,美国,2017
305,6.2,26534,5.7,15863,动作-科幻-灾难,美国,2017
306,6.3,231,6.2,3461,剧情-喜剧,美国,2017
307,6.3,243,6.1,2404,喜剧-恐怖,美国,2017
308,6.4,170,6.0,4487,喜剧,美国,2017
309,6.6,150,6.8,4973,剧情-喜剧,美国,2017
310,6.6,123,6.4,2622,喜剧,美国,2017
311,6.7,195,5.9,1996,剧情-惊悚,美国,2017
312,5.9,100,6.7,7924,动作-犯罪-奇幻,美国,2017
313,6.7,155,7.0,5488,剧情-喜剧,美国,2017
314,6.8,2127,6.9,30496,悬疑-惊悚-恐怖,美国,2017
315,6.8,81,6.4,2083,剧情-传记-历史,美国,2017
316,6.9,354,6.6,2645,剧情-喜剧,美国,2017
317,6.9,242,6.5,9997,喜剧,美国,2017
318,7.0,189,7.2,16973,喜剧,美国,2017
319,7.1,10134,7.0,16893,剧情-悬疑-犯罪,美国,2017
320,7.2,83,6.9,4008,传记,美国,2017
321,7.2,82,6.6,2686,恐怖,美国,2017
322,7.3,114,6.4,502,剧情-喜剧,美国,2017
323,7.3,1591,6.7,1983,悬疑-惊悚-恐怖,美国,2017
324,7.3,3450,6.0,17492,悬疑-惊悚-恐怖,美国,2017
325,7.4,81032,6.8,90714,科幻-惊悚-恐怖,美国,2017
326,7.6,1039,7.6,8433,剧情-犯罪,美国,2017
327,7.7,10962,7.7,47609,剧情-喜剧-传记,美国,2017
328,7.7,10863,7.8,162018,恐怖,美国,2017
329,7.8,22872,7.8,43364,剧情-爱情,美国,2017
330,8.0,269,7.2,2338,剧情-传记-爱情-同性,美国,2017
331,8.1,17679,7.6,39614,喜剧-动作-动画-冒险,美国,2017
332,8.1,13647,7.6,42350,喜剧-传记-运动,美国,2017
333,8.2,21746,7.3,55514,剧情-惊悚-传记-历史,美国,2017
334,8.3,534,7.7,4329,剧情-爱情-奇幻,美国,2017
335,8.4,480,7.6,10896,剧情-历史,美国,2017
336,8.4,7930,7.9,8150,剧情-传记-灾难,美国,2017
337,8.6,55827,8.1,24421,剧情-儿童-家庭,美国-香港,2017
338,5.8,1486,5.7,5824,剧情-惊悚,美国,2017
339,5.4,4663,5.7,25581,剧情-喜剧-科幻,美国,2017
340,5.6,89,5.6,2675,剧情-惊悚,美国,2017
341,4.7,102,4.8,3452,剧情-惊悚,美国,2017
342,5.1,373,4.7,6063,喜剧,美国,2017
343,5.4,78,5.7,5145,剧情-喜剧-爱情,美国,2017
344,5.9,36,5.7,2736,喜剧,美国,2017
345,5.6,80,5.0,695,喜剧,美国,2017
346,4.7,239,5.2,972,奇幻,美国,2017
347,5.4,171,5.2,3525,惊悚-恐怖,美国,2017
348,5.4,865,5.7,2320,惊悚-恐怖,美国,2017
349,3.9,47,3.3,826,恐怖,美国,2017
350,3.5,58,4.7,1402,惊悚,美国,2017
351,5.5,391,5.0,7281,剧情-科幻-惊悚,美国,2017
352,4.2,205,4.4,1506,惊悚-恐怖,美国,2017
353,5.3,96,5.7,3482,爱情,美国,2017
354,6.5,370,6.5,11056,剧情-传记-惊悚,英国,2017
355,7.3,283,6.8,2756,剧情-传记-爱情,英国,2017
356,7.6,208,6.7,4323,恐怖,英国,2017
357,8.0,92,7.9,913,科幻,英国,2017
358,8.3,1228,7.8,2868,剧情-爱情-同性,英国,2017
359,6.7,182,6.6,5379,惊悚-恐怖,西班牙,2017
360,5.8,99,5.2,695,惊悚,西班牙,2017
361,6.1,649,5.6,34,喜剧-犯罪,韩国,2017
362,6.5,1641,6.6,152,动作-犯罪,韩国,2017
363,6.5,1198,6.7,123,动作-犯罪,韩国,2017
364,6.5,752,7.3,47,喜剧-悬疑-惊悚,韩国,2017
365,6.6,891,5.9,30,剧情-犯罪,韩国,2017
366,6.9,1912,6.8,327,剧情-动作-犯罪,韩国,2017
367,7.1,316,6.1,12,悬疑-惊悚,韩国,2017
368,7.2,321,6.2,52,剧情-犯罪,韩国,2017
369,7.2,4589,7.1,428,喜剧-动作-犯罪,韩国,2017
370,7.9,211,7.4,94,剧情-历史,韩国,2017
371,8.6,1050,7.7,79,喜剧,韩国,2017
372,9.1,1873,7.9,600,剧情-历史,韩国,2017
373,4.9,102,6.6,7,犯罪-悬疑-惊悚,韩国,2017
374,6.1,163,7.5,53,恐怖,香港,2017
375,6.9,9210,6.1,35,爱情,香港-中国大陆,2017
376,7.2,6815,7.5,37931,剧情-传记,中国大陆-美国,2017
377,7.9,740,7.8,4370,惊悚,丹麦,2018
378,5.6,138,3.0,636,喜剧-动作,德国,2018
379,6.7,309,5.6,536,悬疑-惊悚-冒险,俄罗斯,2018
380,6.9,270,6.2,957,剧情-动作-奇幻,俄罗斯,2018
381,7.1,126,6.6,991,剧情-传记,俄罗斯-乌克兰-塞尔维亚,2018
382,6.2,387,6.0,1160,恐怖,法国,2018
383,6.7,1075,7.3,14375,剧情-恐怖-歌舞,法国,2018
384,5.9,37535,6.1,16,剧情-爱情,中国大陆,2018
385,6.2,19524,5.7,28,爱情-动画,中国大陆,2018
386,6.9,34546,7.1,39,爱情-冒险,中国,2018
387,7.0,302843,6.2,556,喜剧-动作-犯罪-悬疑,中国大陆,2018
388,7.3,154765,6.4,536,剧情-动作-冒险,中国大陆,2018
389,7.4,208736,7.3,744,剧情-动作-武侠-古装,中国大陆,2018
390,7.7,4325,7.5,8,纪录片,中国大陆,2018
391,7.7,230940,6.5,329,剧情-爱情-战争,中国大陆,2018
392,8.9,49436,7.6,54,纪录片-家庭,中国大陆,2017
393,5.8,129823,5.6,27,剧情-爱情,中国大陆,2018
394,4.1,2176,4.8,45,喜剧-动作-犯罪,中国大陆-香港-美国,2018
395,4.1,7910,4.6,300,动作-冒险,中国大陆-澳大利亚,2018
396,6.6,111,6.6,111,动作,中国大陆,2018
