,豆瓣评分,豆瓣投票人数,IMDB评分,IMDB投票人数,类别,产地,年代
496,6.1,221,5.8,1119,剧情-战争,英国-波兰,2018
497,6.2,2609,6.1,13435,喜剧-动画-冒险,英国-法国-美国,2018
498,6.2,1474,6.9,14343,剧情-传记,瑞士-爱尔兰-英国-法国-美国,2018
499,6.2,638,5.8,1334,科幻,加拿大,2018
500,6.2,1409,6.0,12479,科幻-惊悚,德国,2018
501,5.6,5902,6.2,11407,喜剧-奇幻-冒险,美国-印度-加拿大,2018
502,6.6,162,5.1,176,剧情-动作,加拿大,2018
503,6.6,20118,6.3,32424,动作-科幻-冒险,美国-新西兰,2018
504,6.7,3100,6.7,13278,动作-惊悚,中国大陆,2017
505,6.7,711,7.6,1942,喜剧-恐怖,丹麦-德国,2018
506,6.7,327,6.3,3936,剧情-科幻,德国-法国-英国-波兰-美国,2018
507,6.8,1674,7.5,5230,剧情-惊悚-犯罪,意大利-法国,2018
508,6.8,2659,7.0,23522,动作-科幻-恐怖-战争,美国-加拿大,2018
509,6.9,159317,6.5,94126,动作-科幻-冒险,美国-西班牙,2018
510,6.9,8234,6.4,13809,悬疑-惊悚-恐怖,法国-加拿大,2018
511,7.0,63,6.1,1149,惊悚,丹麦-加拿大-美国,2018
512,7.0,4190,7.2,15533,惊悚-恐怖,美国-意大利,2018
513,7.1,174,6.7,3886,剧情-喜剧-奇幻-冒险,西班牙-比利时-法国-葡萄牙-英国,2018
514,7.2,188512,6.9,91443,奇幻-冒险,美国-英国,2018
515,7.5,413,7.4,10556,剧情-喜剧-传记,英国-美国-加拿大,2018
516,7.5,322,7.2,5406,犯罪-西部-冒险,美国-法国-罗马尼亚-西班牙,2018
517,7.7,742,6.7,3992,剧情-传记-犯罪,挪威-冰岛-美国,2018
518,7.8,414506,7.5,137782,动作-奇幻-冒险,美国-澳大利亚,2018
519,7.9,5730,8.2,20553,剧情-科幻-悬疑-惊悚,英国-美国,2018
520,7.9,1705,7.8,14242,科幻-悬疑-惊悚,美国-英国,2018
521,8.1,2055,8.0,3976,剧情-爱情,波兰-法国-英国,2018
522,8.2,1392,7.4,6466,剧情-惊悚-犯罪,丹麦-法国-德国-瑞典,2018
523,8.7,208637,8.7,99072,动作-科幻-动画-冒险,美国,2018
524,8.7,78189,7.8,35269,剧情-悬疑-惊悚,美国-俄罗斯,2018
525,9.1,1577,8.4,7765,纪录片,美国,2018
526,5.1,19053,5.8,40022,动作-科幻-惊悚-冒险,美国-加拿大,2018
527,5.0,302,5.1,5623,悬疑-惊悚-恐怖,美国,2018
528,5.7,68,5.6,2306,恐怖,奥地利 Austria,2018
529,5.8,994,5.7,14662,惊悚-恐怖,美国-加拿大,2018
530,5.1,205,5.4,6653,悬疑-惊悚-恐怖,美国-澳大利亚,2018
531,5.2,230,6.3,13,爱情,日本,2018
532,6.3,998,5.7,21,犯罪,日本,2018
533,6.6,19874,6.6,136,动画-奇幻-冒险,日本,2018
534,7.8,2134,7.2,191,剧情-犯罪,日本,2018
535,6.8,1105,8.3,853,动作-动画-奇幻,泰国,2018
536,7.1,333,6.7,3186,传记-历史-战争,西班牙,2018
537,5.6,1348,5.9,3269,剧情-惊悚,西班牙,2018
538,8.5,3921,7.6,1681,动画,匈牙利,2018
539,6.1,7126,3.6,12282,喜剧-动作-冒险,印度,2018
540,7.3,153,7.9,8910,动作-犯罪-惊悚,印度,2018
541,7.6,412,8.1,34309,剧情-传记,印度,2018
542,5.8,82,2.1,26466,剧情-动作,印度,2018
543,5.9,277,6.5,1043,惊悚-恐怖,印度尼西亚,2018
544,6.4,333,5.6,3250,动作,英国,2018
545,6.4,174,6.3,750,剧情-喜剧-动作,英国,2018
546,6.6,92,5.8,865,奇幻-冒险,英国,2018
547,7.2,454,7.1,9234,剧情-动作-传记,英国,2018
548,5.3,139,5.2,2455,剧情-惊悚,英国,2018
549,6.5,189,4.9,671,动作-历史-喜剧,俄罗斯,2018
550,7.2,7580,7.1,966,剧情-爱情-运动,俄罗斯,2018
551,6.9,242,7.2,13586,剧情-历史-爱情,印度,2018
552,7.0,1058,7.0,5993,喜剧,印度,2018
553,7.6,694,8.3,6671,剧情-喜剧-传记,印度,2018
554,9.0,82,8.9,21285,喜剧-爱情-悬疑,印度,2018
555,6.0,44433,5.5,50,剧情-犯罪-悬疑,中国大陆,2018
556,6.0,8712,7.2,491,剧情-动作,中国大陆-香港,2018
557,4.0,14561,6.0,18,喜剧-奇幻,中国大陆,2018
558,6.1,6431,6.4,57,剧情-爱情-家庭,中国大陆-香港,2018
559,3.9,10185,6.4,7,奇幻-冒险,中国大陆,2018
560,6.5,91851,6.5,355,动作-悬疑-古装,中国大陆-香港,2018
561,5.2,14064,6.7,104,动作-犯罪,中国大陆,2018
562,6.7,347503,6.2,415,喜剧,中国大陆,2018
563,7.0,72180,6.5,142,剧情-爱情,中国大陆,2018
564,7.3,274188,6.6,311,喜剧,中国内地,2018
565,7.6,129801,6.8,229,剧情-悬疑-犯罪,中国大陆,2018
566,8.2,310680,7.2,344,剧情-喜剧,中国,2018
567,5.1,2849,4.6,5,剧情-喜剧,中国大陆,2018
568,2.6,3151,4.0,90,动作-奇幻,中国大陆-香港,2018
569,3.9,3372,5.0,5,喜剧-动作,中国-中国香港,2018
570,5.0,74859,5.2,69,喜剧,中国大陆,2018
571,2.7,6745,3.7,29,剧情-喜剧,香港-中国大陆,2018
572,8.2,4409,7.7,1621,剧情-传记-历史,巴西,2015
573,8.3,2143,7.8,1222,剧情-惊悚-历史,德国,2018
574,5.7,66,5.3,299,恐怖,意大利,2017
575,5.6,345,6.4,1552,剧情-灾难,挪威,2018
576,6.2,736,7.0,73,动作,日本,2018
577,6.5,463,6.0,1266,科幻-动画-灾难,日本,2018
578,6.8,80,7.6,12,爱情,日本,2018
579,6.9,1731,6.5,129,喜剧-爱情,日本,2018
580,7.2,152,7.2,35,剧情-动作,日本,2018
581,7.3,982,6.6,21,喜剧-剧情,日本,2018
582,8.0,2177,7.2,56,喜剧-家庭,日本,2018
583,8.7,213768,8.1,14567,剧情-家庭-犯罪,日本,2018
584,5.7,174,5.4,11,喜剧,日本,2018
585,5.9,535,6.7,26,喜剧,日本,2018
586,5.8,1534,5.6,108,剧情-悬疑,日本,2018
587,6.0,241,5.5,939,惊悚-历史,波兰-英国,2018
588,6.2,198,6.2,6112,喜剧-动画-冒险,英国-法国-美国,2018
589,6.2,238,6.0,1072,科幻-灾难,法国-加拿大,2018
590,6.4,1612,5.9,927,科幻-悬疑-犯罪,英国-中国大陆-波多黎各-美国,2018
591,6.5,147,5.7,2621,剧情-惊悚-历史,英国-美国,2018
592,6.6,111,5.1,309,科幻-悬疑-惊悚,英国,2018
593,6.8,763,6.6,3397,剧情-历史-灾难,法国-比利时-卢森堡,2018
594,7.5,24208,6.6,7762,喜剧-动画-冒险,美国-英国-澳大利亚,2018
595,7.6,707,6.8,2273,剧情-传记-历史,英国-美国,2018
596,7.8,215,6.6,232,冒险-动画,法国-卢森堡-美国,2018
597,8.4,75284,8.2,38957,喜剧-动画-冒险,美国-德国,2018
598,4.3,232,4.3,1147,动作,美国-英国,2018
599,6.6,94,6.2,1243,犯罪,法国,2018
600,7.9,158,6.3,1498,喜剧,法国,2018
601,7.4,279,6.7,1536,喜剧,澳大利亚,2018
602,6.1,1024,6.1,11659,剧情-惊悚-犯罪,美国,2018
603,5.7,740,6.1,13077,科幻-悬疑-惊悚,美国,2018
604,6.3,706,6.5,13566,剧情-传记-历史,美国,2018
