,IM,豆瓣,类别
1849,IMDb评分　6.9/10 from 2278 users,豆瓣评分　7.0/10 from 70 users,类别　惊悚
1850,IMDb评分　7.7/10 from 12771 users,豆瓣评分　7.1/10 from 778 users,类别　剧情/奇幻/惊悚
1852,IMDb评分　6.5/10 from 568 users,豆瓣评分　7.3/10 from 56 users,类别　喜剧
1853,IMDb评分　7.5/10 from 2430 users,豆瓣评分　7.5/10 from 309 users,类别　喜剧
1854,IMDb评分　6.1/10 from 826 users,豆瓣评分　7.5/10 from 83 users,类别　喜剧/爱情
1855,IMDb评分　7.1/10 from 17876 users,豆瓣评分　7.6/10 from 1216 users,类别　喜剧/动作
1856,IMDb评分　8.0/10 from 21010 users,豆瓣评分　7.7/10 from 1249 users,类别　动作/犯罪/悬疑
1857,IMDb评分　7.2/10 from 4568 users,豆瓣评分　7.7/10 from 84 users,类别　惊悚
1858,IMDb评分　7.2/10 from 802 users,豆瓣评分　7.7/10 from 258 users,类别　动作/科幻/灾难
1859,IMDb评分　7.4/10 from 2386 users,豆瓣评分　7.9/10 from 345 users,类别　剧情/历史/冒险
1860,IMDb评分　7.6/10 from 15105 users,豆瓣评分　7.9/10 from 3917 users,类别　剧情/喜剧
1861,IMDb评分　7.4/10 from 2499 users,豆瓣评分　7.9/10 from 2135 users,类别　剧情/喜剧
1862,IMDb评分　7.3/10 from 383 users,豆瓣评分　8.0/10 from 60 users,类别　喜剧
1863,IMDb评分　6.9/10 from 2719 users,豆瓣评分　8.1/10 from 1337 users,类别　剧情/喜剧
1864,IMDb评分　7.6/10 from 7130 users,豆瓣评分　8.2/10 from 840 users,类别　喜剧/传记/历史
1865,IMDb评分　8.0/10 from 15651 users,豆瓣评分　8.2/10 from 708 users,类别　喜剧/爱情
1866,IMDb评分　6.5/10 from 1641 users,豆瓣评分　8.2/10 from 8286 users,类别　喜剧/爱情/冒险
1867,IMDb评分　5.7/10 from 3210 users,豆瓣评分　8.3/10 from 1714 users,类别　剧情/同性
1868,IMDb评分　7.4/10 from 372 users,豆瓣评分　8.3/10 from 2090 users,类别　喜剧/动画/冒险
1869,IMDb评分　8.2/10 from 14292 users,豆瓣评分　8.3/10 from 63756 users,类别　喜剧/家庭
1870,IMDb评分　7.6/10 from 1672 users,豆瓣评分　8.4/10 from 448 users,类别　动画
1872,IMDb评分　8.4/10 from 161963 users,豆瓣评分　8.5/10 from 109306 users,类别　剧情/科幻/惊悚
1873,IMDb评分　7.4/10 from 35216 users,豆瓣评分　8.6/10 from 60822 users,类别　剧情/传记/历史
1874,IMDb评分　7.9/10 from 11123 users,豆瓣评分　8.6/10 from 81708 users,类别　剧情/传记/动画
1875,IMDb评分　8.2/10 from 53139 users,豆瓣评分　8.9/10 from 122224 users,类别　剧情/爱情/同性
1876,IMDb评分　7.4/10 from 1632 users,豆瓣评分　8.9/10 from 340 users,类别　爱情
1877,IMDb评分　5.9/10 from 2765 users,豆瓣评分　5.5/10 from 148 users,类别　剧情/惊悚
1878,IMDb评分　5.8/10 from 735 users,豆瓣评分　5.4/10 from 244 users,类别　动作/惊悚
1881,IMDb评分　6.0/10 from 2930 users,豆瓣评分　5.8/10 from 96 users,类别　剧情/动作/惊悚
1886,IMDb评分　4.6/10 from 2766 users,豆瓣评分　5.9/10 from 3670 users,类别　剧情/动作/历史
1889,IMDb评分　5.3/10 from 3044 users,豆瓣评分　5.1/10 from 216 users,类别　动作
1891,IMDb评分　5.2/10 from 1842 users,豆瓣评分　5.9/10 from 67 users,类别　恐怖
1895,IMDb评分　4.7/10 from 2888 users,豆瓣评分　5.2/10 from 75 users,类别　奇幻/惊悚/恐怖
1899,IMDb评分　6.9/10 from 14221 users,豆瓣评分　5.8/10 from 297 users,类别　悬疑/恐怖
1900,IMDb评分　4.8/10 from 442 users,豆瓣评分　4.4/10 from 175 users,类别　剧情/科幻/恐怖
1901,IMDb评分　4.6/10 from 2314 users,豆瓣评分　5.7/10 from 125 users,类别　剧情/悬疑/惊悚
1902,IMDb评分　6.3/10 from 6693 users,豆瓣评分　5.8/10 from 535 users,类别　剧情/悬疑/惊悚/恐怖
1903,IMDb评分　5.0/10 from 5560 users,豆瓣评分　4.7/10 from 216 users,类别　剧情/悬疑/惊悚
1905,IMDb评分　4.8/10 from 845 users,豆瓣评分　4.6/10 from 344 users,类别　爱情/惊悚/同性
1910,IMDb评分　5.8/10 from 907 users,豆瓣评分　6.5/10 from 742 users,类别　剧情/爱情/惊悚
1911,IMDb评分　6.1/10 from 1063 users,豆瓣评分　6.5/10 from 146 users,类别　喜剧
1913,IMDb评分　5.4/10 from 818 users,豆瓣评分　6.6/10 from 325 users,类别　剧情/惊悚
1914,IMDb评分　5.9/10 from 2933 users,豆瓣评分　6.6/10 from 124 users,类别　剧情/科幻/惊悚
1916,IMDb评分　6.9/10 from 1448 users,豆瓣评分　6.9/10 from 98 users,类别　传记
1917,IMDb评分　6.3/10 from 1095 users,豆瓣评分　7.3/10 from 75 users,类别　动作/惊悚
1918,IMDb评分　7.0/10 from 2895 users,豆瓣评分　7.7/10 from 295 users,类别　喜剧
1919,IMDb评分　4.7/10 from 613 users,豆瓣评分　5.1/10 from 230 users,类别　剧情/传记
1922,IMDb评分　8.2/10 from 2912 users,豆瓣评分　8.3/10 from 149171 users,类别　剧情/犯罪/悬疑
1923,IMDb评分　7.3/10 from 1363 users,豆瓣评分　6.0/10 from 89 users,类别　剧情/犯罪
1924,IMDb评分　6.6/10 from 2119 users,豆瓣评分　6.3/10 from 165 users,类别　剧情/悬疑
1927,IMDb评分　6.0/10 from 11355 users,豆瓣评分　5.8/10 from 264 users,类别　动作/惊悚
1928,IMDb评分　5.7/10 from 7774 users,豆瓣评分　6.0/10 from 82 users,类别　喜剧
1929,IMDb评分　6.0/10 from 878 users,豆瓣评分　5.0/10 from 66 users,类别　喜剧/恐怖
1930,IMDb评分　4.6/10 from 2907 users,豆瓣评分　6.0/10 from 137 users,类别　悬疑/惊悚/恐怖
1933,IMDb评分　6.0/10 from 3782 users,豆瓣评分　6.1/10 from 231 users,类别　惊悚
1934,IMDb评分　6.2/10 from 2124 users,豆瓣评分　5.6/10 from 214 users,类别　剧情/惊悚
1936,IMDb评分　5.7/10 from 15863 users,豆瓣评分　6.2/10 from 26534 users,类别　动作/科幻/灾难
1939,IMDb评分　6.2/10 from 3461 users,豆瓣评分　6.3/10 from 231 users,类别　剧情/喜剧
1940,IMDb评分　6.1/10 from 2404 users,豆瓣评分　6.3/10 from 243 users,类别　喜剧/恐怖
1941,IMDb评分　6.0/10 from 4487 users,豆瓣评分　6.4/10 from 170 users,类别　喜剧
1944,IMDb评分　6.8/10 from 4973 users,豆瓣评分　6.6/10 from 150 users,类别　剧情/喜剧
1945,IMDb评分　6.4/10 from 2622 users,豆瓣评分　6.6/10 from 123 users,类别　喜剧
1948,IMDb评分　5.9/10 from 1996 users,豆瓣评分　6.7/10 from 195 users,类别　剧情/惊悚
1949,IMDb评分　6.7/10 from 7924 users,豆瓣评分　5.9/10 from 100 users,类别　动作/犯罪/奇幻
1950,IMDb评分　7.0/10 from 5488 users,豆瓣评分　6.7/10 from 155 users,类别　剧情/喜剧
1952,IMDb评分　6.9/10 from 30496 users,豆瓣评分　6.8/10 from 2127 users,类别　悬疑/惊悚/恐怖
1953,IMDb评分　6.4/10 from 2083 users,豆瓣评分　6.8/10 from 81 users,类别　剧情/传记/历史
1954,IMDb评分　6.6/10 from 2645 users,豆瓣评分　6.9/10 from 354 users,类别　剧情/喜剧
1956,IMDb评分　6.5/10 from 9997 users,豆瓣评分　6.9/10 from 242 users,类别　喜剧
1957,IMDb评分　7.2/10 from 16973 users,豆瓣评分　7.0/10 from 189 users,类别　喜剧
1958,IMDb评分　7.0/10 from 16893 users,豆瓣评分　7.1/10 from 10134 users,类别　剧情/悬疑/犯罪
1959,IMDb评分　6.9/10 from 4008 users,豆瓣评分　7.2/10 from 83 users,类别　传记
1960,IMDb评分　6.6/10 from 2686 users,豆瓣评分　7.2/10 from 82 users,类别　恐怖
1962,IMDb评分　6.4/10 from 502 users,豆瓣评分　7.3/10 from 114 users,类别　剧情/喜剧
1963,IMDb评分　6.7/10 from 1983 users,豆瓣评分　7.3/10 from 1591 users,类别　悬疑/惊悚/恐怖
1964,IMDb评分　6.0/10 from 17492 users,豆瓣评分　7.3/10 from 3450 users,类别　悬疑/惊悚/恐怖
1965,IMDb评分　6.8/10 from 90714 users,豆瓣评分　7.4/10 from 81032 users,类别　科幻/惊悚/恐怖
1967,IMDb评分　7.6/10 from 8433 users,豆瓣评分　7.6/10 from 1039 users,类别　剧情/犯罪
1968,IMDb评分　7.7/10 from 47609 users,豆瓣评分　7.7/10 from 10962 users,类别　剧情/喜剧/传记
1971,IMDb评分　7.8/10 from 162018 users,豆瓣评分　7.7/10 from 10863 users,类别　恐怖
1972,IMDb评分　7.8/10 from 43364 users,豆瓣评分　7.8/10 from 22872 users,类别　剧情/爱情
1975,IMDb评分　7.2/10 from 2338 users,豆瓣评分　8.0/10 from 269 users,类别　剧情/传记/爱情/同性
1976,IMDb评分　7.6/10 from 39614 users,豆瓣评分　8.1/10 from 17679 users,类别　喜剧/动作/动画/冒险
1977,IMDb评分　7.6/10 from 42350 users,豆瓣评分　8.1/10 from 13647 users,类别　喜剧/传记/运动
1978,IMDb评分　7.3/10 from 55514 users,豆瓣评分　8.2/10 from 21746 users,类别　剧情/惊悚/传记/历史
1979,IMDb评分　7.7/10 from 4329 users,豆瓣评分　8.3/10 from 534 users,类别　剧情/爱情/奇幻
1980,IMDb评分　7.6/10 from 10896 users,豆瓣评分　8.4/10 from 480 users,类别　剧情/历史
1981,IMDb评分　7.9/10 from 8150 users,豆瓣评分　8.4/10 from 7930 users,类别　剧情/传记/灾难
1982,IMDb评分　8.1/10 from 24421 users,豆瓣评分　8.6/10 from 55827 users,类别　剧情/儿童/家庭
1987,IMDb评分　5.7/10 from 5824 users,豆瓣评分　5.8/10 from 1486 users,类别　剧情/惊悚
1988,IMDb评分　5.7/10 from 25581 users,豆瓣评分　5.4/10 from 4663 users,类别　剧情/喜剧/科幻
1989,IMDb评分　5.6/10 from 2675 users,豆瓣评分　5.6/10 from 89 users,类别　剧情/惊悚
1990,IMDb评分　4.8/10 from 3452 users,豆瓣评分　4.7/10 from 102 users,类别　剧情/惊悚
1999,IMDb评分　4.7/10 from 6063 users,豆瓣评分　5.1/10 from 373 users,类别　喜剧
2001,IMDb评分　5.7/10 from 5145 users,豆瓣评分　5.4/10 from 78 users,类别　剧情/喜剧/爱情
2003,IMDb评分　5.7/10 from 2736 users,豆瓣评分　5.9/10 from 36 users,类别　喜剧
2006,IMDb评分　5.0/10 from 695 users,豆瓣评分　5.6/10 from 80 users,类别　喜剧
2011,IMDb评分　5.2/10 from 972 users,豆瓣评分　4.7/10 from 239 users,类别　奇幻
2012,IMDb评分　5.2/10 from 3525 users,豆瓣评分　5.4/10 from 171 users,类别　惊悚/恐怖
2019,IMDb评分　5.7/10 from 2320 users,豆瓣评分　5.4/10 from 865 users,类别　惊悚/恐怖
2022,IMDb评分　3.3/10 from 826 users,豆瓣评分　3.9/10 from 47 users,类别　恐怖
2024,IMDb评分　4.7/10 from 1402 users,豆瓣评分　3.5/10 from 58 users,类别　惊悚
2026,IMDb评分　5.0/10 from 7281 users,豆瓣评分　5.5/10 from 391 users,类别　剧情/科幻/惊悚
2028,IMDb评分　4.4/10 from 1506 users,豆瓣评分　4.2/10 from 205 users,类别　惊悚/恐怖
2032,IMDb评分　5.7/10 from 3482 users,豆瓣评分　5.3/10 from 96 users,类别　爱情
2035,IMDb评分　6.5/10 from 11056 users,豆瓣评分　6.5/10 from 370 users,类别　剧情/传记/惊悚
2036,IMDb评分　6.8/10 from 2756 users,豆瓣评分　7.3/10 from 283 users,类别　剧情/传记/爱情
2037,IMDb评分　6.7/10 from 4323 users,豆瓣评分　7.6/10 from 208 users,类别　恐怖
2039,IMDb评分　7.9/10 from 913 users,豆瓣评分　8.0/10 from 92 users,类别　科幻
2040,IMDb评分　7.8/10 from 2868 users,豆瓣评分　8.3/10 from 1228 users,类别　剧情/爱情/同性
2043,IMDb评分　6.6/10 from 5379 users,豆瓣评分　6.7/10 from 182 users,类别　惊悚/恐怖
2046,IMDb评分　5.2/10 from 695 users,豆瓣评分　5.8/10 from 99 users,类别　惊悚
2047,IMDb评分　5.6/10 from 34 users,豆瓣评分　6.1/10 from 649 users,类别　喜剧/犯罪
2050,IMDb评分　6.6/10 from 152 users,豆瓣评分　6.5/10 from 1641 users,类别　动作/犯罪
2051,IMDb评分　6.7/10 from 123 users,豆瓣评分　6.5/10 from 1198 users,类别　动作/犯罪
2052,IMDb评分　7.3/10 from 47 users,豆瓣评分　6.5/10 from 752 users,类别　喜剧/悬疑/惊悚
2053,IMDb评分　5.9/10 from 30 users,豆瓣评分　6.6/10 from 891 users,类别　剧情/犯罪
2054,IMDb评分　6.8/10 from 327 users,豆瓣评分　6.9/10 from 1912 users,类别　剧情/动作/犯罪
2055,IMDb评分　6.1/10 from 12 users,豆瓣评分　7.1/10 from 316 users,类别　悬疑/惊悚
2056,IMDb评分　6.2/10 from 52 users,豆瓣评分　7.2/10 from 321 users,类别　剧情/犯罪
2057,IMDb评分　7.1/10 from 428 users,豆瓣评分　7.2/10 from 4589 users,类别　喜剧/动作/犯罪
2058,IMDb评分　7.4/10 from 94 users,豆瓣评分　7.9/10 from 211 users,类别　剧情/历史
2059,IMDb评分　7.7/10 from 79 users,豆瓣评分　8.6/10 from 1050 users,类别　喜剧
2060,IMDb评分　7.9/10 from 600 users,豆瓣评分　9.1/10 from 1873 users,类别　剧情/历史
2061,IMDb评分　6.6/10 from 7 users,豆瓣评分　4.9/10 from 102 users,类别　犯罪/悬疑/惊悚
2063,IMDb评分　7.5/10 from 53 users,豆瓣评分　6.1/10 from 163 users,类别　恐怖
2064,IMDb评分　6.1/10 from 35 users,豆瓣评分　6.9/10 from 9210 users,类别　爱情
2066,IMDb评分　7.5/10 from 37931 users,豆瓣评分　7.2/10 from 6815 users,类别　剧情/传记
2067,IMDb评分　7.8/10 from 4370 users,豆瓣评分　7.9/10 from 740 users,类别　惊悚
2068,IMDb评分　3.0/10 from 636 users,豆瓣评分　5.6/10 from 138 users,类别　喜剧/动作
2069,IMDb评分　5.6/10 from 536 users,豆瓣评分　6.7/10 from 309 users,类别　悬疑/惊悚/冒险
2070,IMDb评分　6.2/10 from 957 users,豆瓣评分　6.9/10 from 270 users,类别　剧情/动作/奇幻
2071,IMDb评分　6.6/10 from 991 users,豆瓣评分　7.1/10 from 126 users,类别　剧情/传记
2073,IMDb评分　6.0/10 from 1160 users,豆瓣评分　6.2/10 from 387 users,类别　恐怖
2074,IMDb评分　7.3/10 from 14375 users,豆瓣评分　6.7/10 from 1075 users,类别　剧情/恐怖/歌舞
2077,IMDb评分　6.1/10 from 16 users,豆瓣评分　5.9/10 from 37535 users,类别　剧情/爱情
2078,IMDb评分　5.7/10 from 28 users,豆瓣评分　6.2/10 from 19524 users,类别　爱情/动画
2079,IMDb评分　7.1/10 from 39 users,豆瓣评分　6.9/10 from 34546 users,类别　爱情/冒险
2080,IMDb评分　6.2/10 from 556 users,豆瓣评分　7.0/10 from 302843 users,类别　喜剧/动作/犯罪/悬疑
2082,IMDb评分　6.4/10 from 536 users,豆瓣评分　7.3/10 from 154765 users,类别　剧情/动作/冒险
2083,IMDb评分　7.3/10 from 744 users,豆瓣评分　7.4/10 from 208736 users,类别　剧情/动作/武侠/古装
2084,IMDb评分　7.5/10 from 8 users,豆瓣评分　7.7/10 from 4325 users,类别　纪录片
2085,IMDb评分　6.5/10 from 329 users,豆瓣评分　7.7/10 from 230940 users,类别　剧情/爱情/战争
2088,IMDb评分　7.6/10 from 54 users,豆瓣评分　8.9/10 from 49436 users,类别　纪录片/家庭
2090,IMDb评分　5.6/10 from 27 users,豆瓣评分　5.8/10 from 129823 users,类别　剧情/爱情
2099,IMDb评分　4.8/10 from 45 users,豆瓣评分　4.1/10 from 2176 users,类别　喜剧/动作/犯罪
2101,IMDb评分　4.6/10 from 300 users,豆瓣评分　4.1/10 from 7910 users,类别　动作/冒险
2113,IMDb评分　5.6/10 from 209 users,豆瓣评分　4.6/10 from 52527 users,类别　喜剧/爱情/奇幻
2116,IMDb评分　5.1/10 from 28 users,豆瓣评分　5.0/10 from 6026 users,类别　喜剧/动作/犯罪
2118,IMDb评分　4.3/10 from 29 users,豆瓣评分　3.9/10 from 15157 users,类别　喜剧/动作
2122,IMDb评分　4.0/10 from 11 users,豆瓣评分　3.6/10 from 7745 users,类别　喜剧/奇幻/武侠
2130,IMDb评分　6.1/10 from 249 users,豆瓣评分　5.5/10 from 1396 users,类别　动作/恐怖
2131,IMDb评分　5.0/10 from 38 users,豆瓣评分　4.3/10 from 410 users,类别　恐怖
2133,IMDb评分　7.7/10 from 148 users,豆瓣评分　7.1/10 from 2387 users,类别　剧情/传记/运动
2135,IMDb评分　5.6/10 from 2407 users,豆瓣评分　5.2/10 from 205 users,类别　动作/科幻/惊悚
2136,IMDb评分　5.3/10 from 15430 users,豆瓣评分　5.4/10 from 615 users,类别　动作/冒险
2138,IMDb评分　6.2/10 from 4338 users,豆瓣评分　6.0/10 from 615 users,类别　剧情/音乐
2139,IMDb评分　6.1/10 from 2243 users,豆瓣评分　6.0/10 from 185 users,类别　科幻/惊悚
2140,IMDb评分　6.0/10 from 3796 users,豆瓣评分　5.5/10 from 153 users,类别　喜剧/恐怖/奇幻/冒险
2141,IMDb评分　5.7/10 from 1034 users,豆瓣评分　6.0/10 from 158 users,类别　喜剧/爱情
2143,IMDb评分　6.4/10 from 2443 users,豆瓣评分　6.1/10 from 86 users,类别　惊悚
2144,IMDb评分　5.7/10 from 1724 users,豆瓣评分　6.1/10 from 869 users,类别　剧情/传记/犯罪
2145,IMDb评分　5.5/10 from 11353 users,豆瓣评分　6.1/10 from 32625 users,类别　奇幻/冒险
2146,IMDb评分　6.1/10 from 2008 users,豆瓣评分　5.2/10 from 90 users,类别　奇幻/恐怖
2147,IMDb评分　4.9/10 from 2032 users,豆瓣评分　6.1/10 from 65 users,类别　喜剧
2148,IMDb评分　6.4/10 from 5711 users,豆瓣评分　6.2/10 from 191 users,类别　剧情/惊悚
2149,IMDb评分　6.3/10 from 3060 users,豆瓣评分　6.2/10 from 141 users,类别　剧情/传记
2150,IMDb评分　5.7/10 from 2513 users,豆瓣评分　6.3/10 from 346 users,类别　惊悚
2151,IMDb评分　6.3/10 from 4971 users,豆瓣评分　5.9/10 from 120 users,类别　剧情/惊悚
2152,IMDb评分　7.0/10 from 55881 users,豆瓣评分　6.3/10 from 5728 users,类别　惊悚/恐怖
2153,IMDb评分　5.6/10 from 21687 users,豆瓣评分　6.3/10 from 1235 users,类别　喜剧
2154,IMDb评分　6.4/10 from 444 users,豆瓣评分　5.8/10 from 76 users,类别　动作/犯罪/惊悚
2155,IMDb评分　6.8/10 from 37098 users,豆瓣评分　6.4/10 from 2749 users,类别　剧情/悬疑/惊悚
2156,IMDb评分　6.3/10 from 5494 users,豆瓣评分　6.4/10 from 780 users,类别　剧情/爱情/奇幻
2157,IMDb评分　6.4/10 from 8893 users,豆瓣评分　5.1/10 from 162 users,类别　喜剧/犯罪/悬疑
2158,IMDb评分　5.7/10 from 9032 users,豆瓣评分　6.5/10 from 163 users,类别　喜剧/爱情
2159,IMDb评分　6.1/10 from 20144 users,豆瓣评分　6.5/10 from 47765 users,类别　动作/惊悚/冒险
2160,IMDb评分　6.5/10 from 3064 users,豆瓣评分　5.6/10 from 79 users,类别　剧情/爱情/音乐
2161,IMDb评分　7.0/10 from 10694 users,豆瓣评分　6.5/10 from 11527 users,类别　剧情/冒险
2162,IMDb评分　7.1/10 from 20 users,豆瓣评分　6.6/10 from 78 users,类别　动画
2163,IMDb评分　6.1/10 from 11785 users,豆瓣评分　6.6/10 from 1106 users,类别　动作/犯罪/冒险
2164,IMDb评分　5.8/10 from 1059 users,豆瓣评分　6.6/10 from 92 users,类别　惊悚
2165,IMDb评分　8.0/10 from 100650 users,豆瓣评分　6.6/10 from 60564 users,类别　惊悚/恐怖
2166,IMDb评分　6.6/10 from 1420 users,豆瓣评分　5.5/10 from 126 users,类别　喜剧
2168,IMDb评分　6.5/10 from 28982 users,豆瓣评分　6.7/10 from 57017 users,类别　动作/科幻/冒险
2169,IMDb评分　6.7/10 from 7155 users,豆瓣评分　6.7/10 from 324 users,类别　剧情/惊悚/恐怖
2170,IMDb评分　6.3/10 from 7600 users,豆瓣评分　6.7/10 from 105 users,类别　剧情/惊悚/恐怖/传记/犯罪
2171,IMDb评分　6.7/10 from 3772 users,豆瓣评分　6.7/10 from 246 users,类别　剧情/喜剧/惊悚/犯罪
2173,IMDb评分　7.4/10 from 33122 users,豆瓣评分　6.7/10 from 8804 users,类别　喜剧/爱情
2175,IMDb评分　6.3/10 from 14564 users,豆瓣评分　6.8/10 from 2819 users,类别　喜剧/动作
2176,IMDb评分　6.8/10 from 28282 users,豆瓣评分　5.5/10 from 27480 users,类别　动作/科幻/冒险
2177,IMDb评分　7.0/10 from 2491 users,豆瓣评分　6.8/10 from 135 users,类别　剧情/冒险
2178,IMDb评分　6.8/10 from 20169 users,豆瓣评分　6.3/10 from 360 users,类别　喜剧
2179,IMDb评分　6.3/10 from 13349 users,豆瓣评分　6.9/10 from 30031 users,类别　喜剧/动画/奇幻
2181,IMDb评分　6.1/10 from 468 users,豆瓣评分　6.9/10 from 98 users,类别　动作/惊悚/犯罪
2182,IMDb评分　7.0/10 from 31056 users,豆瓣评分　7.0/10 from 1539 users,类别　动作/惊悚/犯罪
2183,IMDb评分　7.1/10 from 118859 users,豆瓣评分　7.0/10 from 22916 users,类别　动作/科幻/冒险
2184,IMDb评分　7.1/10 from 37647 users,豆瓣评分　7.0/10 from 2631 users,类别　歌舞
2185,IMDb评分　7.0/10 from 5115 users,豆瓣评分　7.0/10 from 165 users,类别　剧情/传记/犯罪
2186,IMDb评分　7.4/10 from 5612 users,豆瓣评分　7.0/10 from 94 users,类别　剧情/音乐
2187,IMDb评分　6.8/10 from 7239 users,豆瓣评分　7.0/10 from 358 users,类别　剧情/科幻/惊悚
2188,IMDb评分　7.6/10 from 58339 users,豆瓣评分　7.0/10 from 3720 users,类别　喜剧/传记/犯罪
2189,IMDb评分　7.9/10 from 4214 users,豆瓣评分　7.1/10 from 753 users,类别　喜剧/爱情
2190,IMDb评分　7.4/10 from 24413 users,豆瓣评分　7.1/10 from 952 users,类别　悬疑/惊悚
2191,IMDb评分　7.1/10 from 37647 users,豆瓣评分　5.9/10 from 247 users,类别　剧情/传记
2192,IMDb评分　6.4/10 from 46846 users,豆瓣评分　7.1/10 from 6295 users,类别　喜剧/犯罪
2193,IMDb评分　7.0/10 from 9310 users,豆瓣评分　7.1/10 from 414 users,类别　剧情/历史/战争
2194,IMDb评分　7.2/10 from 35190 users,豆瓣评分　7.2/10 from 123073 users,类别　动作/科幻/冒险
2195,IMDb评分　7.1/10 from 27413 users,豆瓣评分　7.2/10 from 2493 users,类别　剧情/悬疑/犯罪
2196,IMDb评分　8.2/10 from 97997 users,豆瓣评分　7.3/10 from 8436 users,类别　剧情/爱情/音乐
2197,IMDb评分　7.0/10 from 133601 users,豆瓣评分　7.3/10 from 257985 users,类别　动作/科幻/惊悚
2198,IMDb评分　7.0/10 from 5476 users,豆瓣评分　7.4/10 from 163 users,类别　剧情/同性/传记
2199,IMDb评分　6.9/10 from 1994 users,豆瓣评分　7.4/10 from 1854 users,类别　剧情/喜剧/冒险
2200,IMDb评分　7.3/10 from 5026 users,豆瓣评分　7.5/10 from 1654 users,类别　剧情/犯罪
2201,IMDb评分　6.7/10 from 6757 users,豆瓣评分　7.6/10 from 857 users,类别　剧情/传记
2202,IMDb评分　7.7/10 from 11268 users,豆瓣评分　7.9/10 from 2165 users,类别　动作/科幻/惊悚
2203,IMDb评分　5.7/10 from 5433 users,豆瓣评分　7.9/10 from 37744 users,类别　犯罪/恐怖
2205,IMDb评分　8.0/10 from 109158 users,豆瓣评分　8.0/10 from 91801 users,类别　喜剧/动作/动画/冒险
2206,IMDb评分　7.6/10 from 21050 users,豆瓣评分　8.2/10 from 2375 users,类别　喜剧/动画/冒险
2207,IMDb评分　7.3/10 from 45918 users,豆瓣评分　8.2/10 from 157636 users,类别　喜剧/动画/奇幻/冒险
2208,IMDb评分　8.1/10 from 121340 users,豆瓣评分　8.3/10 from 184875 users,类别　动作/惊悚/冒险
2209,IMDb评分　8.5/10 from 9157 users,豆瓣评分　8.5/10 from 505 users,类别　纪录片
2210,IMDb评分　8.3/10 from 197150 users,豆瓣评分　8.8/10 from 20691 users,类别　剧情/音乐/传记
2212,IMDb评分　5.0/10 from 951 users,豆瓣评分　4.9/10 from 81 users,类别　动作
2214,IMDb评分　4.3/10 from 538 users,豆瓣评分　4.2/10 from 101 users,类别　动作
2220,IMDb评分　3.3/10 from 405 users,豆瓣评分　3.5/10 from 175 users,类别　动作/科幻/恐怖
2221,IMDb评分　4.8/10 from 580 users,豆瓣评分　4.8/10 from 146 users,类别　动作/恐怖
2222,IMDb评分　4.7/10 from 526 users,豆瓣评分　4.1/10 from 273 users,类别　动作/冒险
2225,IMDb评分　5.4/10 from 284 users,豆瓣评分　5.5/10 from 104 users,类别　动作
2226,IMDb评分　5.9/10 from 4601 users,豆瓣评分　5.6/10 from 298 users,类别　惊悚/犯罪
2228,IMDb评分　5.6/10 from 2495 users,豆瓣评分　5.8/10 from 626 users,类别　惊悚
2229,IMDb评分　5.2/10 from 3410 users,豆瓣评分　4.6/10 from 168 users,类别　惊悚
2230,IMDb评分　4.9/10 from 2829 users,豆瓣评分　5.4/10 from 77 users,类别　惊悚
2234,IMDb评分　5.3/10 from 2850 users,豆瓣评分　4.9/10 from 100 users,类别　剧情/惊悚
2237,IMDb评分　5.8/10 from 1435 users,豆瓣评分　4.6/10 from 104 users,类别　科幻/悬疑/惊悚
2238,IMDb评分　5.6/10 from 2734 users,豆瓣评分　5.7/10 from 356 users,类别　科幻
2239,IMDb评分　5.6/10 from 12863 users,豆瓣评分　5.2/10 from 887 users,类别　科幻/惊悚
2241,IMDb评分　5.2/10 from 14592 users,豆瓣评分　5.3/10 from 728 users,类别　科幻/犯罪/惊悚
2242,IMDb评分　5.7/10 from 1964 users,豆瓣评分　5.7/10 from 271 users,类别　科幻/惊悚
2243,IMDb评分　5.7/10 from 612 users,豆瓣评分　5.1/10 from 83 users,类别　科幻/惊悚
2245,IMDb评分　5.7/10 from 3950 users,豆瓣评分　5.0/10 from 316 users,类别　惊悚/恐怖
2246,IMDb评分　5.6/10 from 5990 users,豆瓣评分　3.8/10 from 126 users,类别　恐怖
2248,IMDb评分　4.8/10 from 10034 users,豆瓣评分　5.4/10 from 536 users,类别　惊悚/恐怖
2250,IMDb评分　5.9/10 from 1508 users,豆瓣评分　6.0/10 from 94 users,类别　悬疑/惊悚
2251,IMDb评分　6.1/10 from 10619 users,豆瓣评分　5.8/10 from 661 users,类别　动作/犯罪/惊悚
2253,IMDb评分　7.5/10 from 5863 users,豆瓣评分　6.1/10 from 649 users,类别　剧情/惊悚
2254,IMDb评分　5.8/10 from 1119 users,豆瓣评分　6.1/10 from 221 users,类别　剧情/战争
2255,IMDb评分　6.1/10 from 13435 users,豆瓣评分　6.2/10 from 2609 users,类别　喜剧/动画/冒险
2256,IMDb评分　6.9/10 from 14343 users,豆瓣评分　6.2/10 from 1474 users,类别　剧情/传记
2257,IMDb评分　5.8/10 from 1334 users,豆瓣评分　6.2/10 from 638 users,类别　科幻
2258,IMDb评分　6.0/10 from 12479 users,豆瓣评分　6.2/10 from 1409 users,类别　科幻/惊悚
